
GoldStolen				"##1## volé"
HelpTextReputation			"Reputation is very important in Din's Curse since Din will not release you from his curse until you have gained enough reputation.\n\nYou can gain reputation in only one way, by solving quests. However, doing quests for Din and normal towns people are generally worth more reputation.\n\nYou can lose reputation in multiple ways though. Any time you fail a quest, anyone from town dies, or you buy items from a less reputable source you will lose some reputation.\n\nAs an added bonus, each time you go up a reputation level you get a unique item as a reward!"

HelpTitleAcid				"Acid"
HelpTextAcid				"Be very wary of pools of acid and acid based attacks. Acid does way more durability damage to your items than anything else. Acid pools look like small pools of green liquid."

HelpTitleDurability			"Durability"
HelpTextDurability			"Most items have a limited durability before they break. You will be warned when any item gets too worn, but pay attention or something might break at a bad time. Weaponsmiths and armorsmiths in town can repair items for a fee. Attacking some things like doors, chests, and cave ins will cause more damage to your weapons than softer things."

HelpTitleMultiplayer			"Multijoueur"
HelpTextMultiplayer			"For the most part Din's Curse works the same in multiplayer as in singleplayer. The multiplayer experience is designed to be co-op, so you can't hurt other players and things like quests and experience are shared. There are a few differences. You can chat with other players by hitting enter or clicking on the chat button in the lower left of the screen. You can also hover the mouse over the icon in the upper right of the screen to find out information about the game. You can see the locations (either a dot or the level name) of other players on the world map. Each player's health shows up on the right side of the screen. If the player is close enough, left clicking this health bar will select their character and right clicking it will show you their items."

HelpTitleObjectInteraction		"Object Interaction"
HelpTextObjectInteraction		"Many objects in the world can be used and/or destroyed so keep on a look for different types of objects. Many times these are useful, but not always. For example, some things are poisonous or are holding up the ceiling. Causing large explosions near the support beams isn't the smartest of actions to take. Also beware, some types of monsters know how to use some of the objects in the game."

HelpTitleDynamicWorld			"Dynamic World"
HelpTextDynamicWorld			"Unlike most games, Din's Curse has a very dynamic world. Each and every town will be very different. Without giving away any spoilers, when an NPC says do this quick or something might happen, well what ever that something is it will probably happen if you don't do something about it. When an NPC says hurry, they really do mean it. The game will change depending on what is going on in the town when you arrive, what you do, what you don't do, and even what the monsters do. So keep on your toes and solve the town's problems as quick as you can. You are the hero after all."

// Hardcore stuff

HardcoreMode				"Hardcore"
HardcoreDesc				"Hardcore is a difficulty option only for advanced players.  The\nhardcore option isn't available until you have at least one\ncharacter at level 25 or above.\n\nThe hardcore rules are simple:\n1) When a character that has chosen the hardcore option dies,\nthey stay dead.  Death is permanent in hardcore.\n2) The character doesn't have access to the shared stash.\n\nChoose this option carefully.  Once a character is started as a\nhardcore character, it stays that way forever.\n\nDo you have what it takes to play hardcore?"
HardcoreDead				"You are dead"
HardcoreDeadDesc			"In hardcore mode, death is permanent!"

CursedMode				"Cursed"
CursedDesc				"Cursed is a difficulty option only for advanced players.  The\ncursed option isn't available until you have at least one\ncharacter at level 25 or above.\n\nThe cursed rules are simple:\n1) You can't equip any items that aren't cursed.\n\nChoose this option carefully.  Once a character is started as a\ncursed character, it stays that way forever.\n\nDo you have what it takes to play cursed?"

// Powerups

GiantPowerupName			"Giant"
GiantPowerupDesc			"Increases the damage you inflict, your size,\nand your movement speed."

HastePowerupName			"Haste"
HastePowerupDesc			"Increases your movement and attack speed."

StoneSkinPowerupName			"Stone Skin"
StoneSkinPowerupDesc			"Decreases the damage you take."

RegenerationPowerupName			"Regeneration"
RegenerationPowerupDesc			"Increases the rate of regerating both\nyour health and mana."

LifeStealPowerupName			"Life Steal"
LifeStealPowerupDesc			"Steals some of your enemy's health each\ntime you hit him."

ManaLeechPowerupName			"Mana Leech"
ManaLeechPowerupDesc			"Steals some of your enemy's mana each\ntime you hit him."

HolyShieldPowerupName			"Holy Shield"
HolyShieldPowerupDesc			"A magical shield that absorbs all damage taken."

InfiniteManaPowerupName			"Infinite Mana"
InfiniteManaPowerupDesc			"Greatly increases the regeneration of mana."

InfiniteStaminaPowerupName		"Infinite Stamina"
InfiniteStaminaPowerupDesc		"Greatly increases the regeneration of stamina."

FireShieldPowerupName			"Fire Shield"
FireShieldPowerupDesc			"Shield that damages any enemy that\ndamages you.  Also provides fire resistance."

// Events

SecretFound				"Secret found!"
FoundIllusion				"Illusion dispelled"
FoundSecretIllusion			"Secret found!  Illusion dispelled."

XWasKilledByY				"##1## was killed by ##2##!"
XWaskilledByAY				"##1## was killed by a ##2##!"
XHasDied				"##1## has died!"

PlayerXWasKilledByY			"##1## was killed by ##2## in ##3##!"
PlayerXWaskilledByAY			"##1## was killed by a ##2## in ##3##!"
PlayerXHasDied				"##1## has died in ##2##!"

NowLevelX				"Now level ##1##: +##2## attribute points and +##3## skill points!"
NowReputationLevelX			"Now reputation level ##1##!"
NowReputationLevelXReward		"Now reputation level ##1##: received ##2## as a reward!"
NowReputationLevelXRewardGround		"Now reputation level ##1##: received ##2## as a reward (on ground)!"

// World modifiers

KnownWorldModifiers			"Known World Modifiers"
KnownWorldModifiersDesc			"Each town and dungeon has a different flavor\nto it. This list shows some of the more major\ndifferences. Note there are lots of modifiers\nthat are secret that won't show up on this list."
NoKnownWorldModifiers			"None"

WorldModifierRain			"Rainy"
WorldModifierTraps			"Traps"
WorldModifierHighIntensity		"High Intensity"
WorldModifierVulnerableTown		"Vulnerable Town"
WorldModifierGargoyles			"Gargoyles"
WorldModifierUndead			"Undead"
WorldModifierHaunted			"Haunted"
WorldModifierDemons			"Demons"
WorldModifierSpiders			"Spiders"
WorldModifierDarkElves			"Dark Elves"
WorldModifierHorror			"Horror"
WorldModifierUnstable			"Unstable"
WorldModifierAcid			"Acid"
WorldModifierWarehouse			"Warehouse"
WorldModifierFireHazard			"Fire Hazard"
WorldModifierExplosionHazard		"Explosion Hazard"
WorldModifierMushrooms			"Mushrooms"
WorldModifierMonsterTraps		"Monster Traps"
WorldModifierTricksterRealm		"Trickster Realm"
WorldModifierObjects			"Clutter"
WorldModifierChaos			"Chaos"
WorldModifierStorms			"Storms"
WorldModifierDarkness			"Darkness"
WorldModifierBright			"Bright"
WorldModifierFear			"Fear"
WorldModifierCursed			"Cursed"
WorldModifierMagma			"Magma"
WorldModifierEarthquakes		"Earthquakes"
WorldModifierPlague			"Plague"
WorldModifierFog			"Foggy"

SkillMonsterLevel			"Monster level"
SkillMonsterMaxCount			"Monster max count"

// General status effect stuff

Duration				"Duration"
LifeStolenPerHit			"Life Stolen Per Hit"
AbsorbsAllDamage			"Absorbs all damage"
FreezesTarget				"Freezes target"
PreventsUsingSpells			"Prevents using spells"
PreventsUsingSkills			"Prevents using skills"
PreventsMovement			"Prevents movement"
AnyDamageBreaksEffect			"Any damage breaks effect"
XChanceOfDynamicStat			"##1## chance of ##2##"
XDamageEveryY				"##1## damage every ##2##"
XHealthOverY				"##1## health over ##2##"
XHealthEachSecond			"Regenerates ##1## health per second"
RegeneratesXHealthPerSecond		"Regenerates ##1## health per second"
XPowerEveryY				"##1## ##2## every ##3##"
XPowerOverY				"##1## ##2## over ##3##"
RegeneratesPowerPerSecond		"Regenerates ##1## mana per second"
XStaminaOverY				"##1## stamina over ##2##"
LeachesXPowerPerHit			"Leaches ##1## ##2## per hit"
CausesXDamageEachTimeHit		"Causes ##1## damage to attacker each time you are hit"
CausesXPercentDamageEachTimeHit		"Causes ##1## damage of max damage to attacker each time hit"
BurnsXPowerEachSuccessfulHit		"Burns ##1## of victim's Mana with each successful hit"
BurnsXStaminaEachSuccessfulHit		"Burns ##1## of victim's Stamina with each successful hit"
XToYRandomElementalDamage		"##1## - ##2## Random Elemental Damage"
AbsorbsUpToXDamage			"Absorbs up to ##1## damage"

FoodSupplyPriceDesc			"Food supplies are low and currently cost ##1##% more than normal"
DrinkSupplyPriceDesc			"Drink supplies are low and currently cost ##1##% more than normal"

// Skill stuff

CostForNextPoint			"Cost for next point"
SkillPoints				"Points"
CostToDecrease				"Cost to decrease"
SkillPointsRegained			"Skill Points Regained"

ExtraDamagePerRage			"extra damage per mana"
LevelXEnemy				"lvl ##1## enemy"

// Entity State

MinorDistraction			"Minor Distraction"
DecentDistraction			"Decent Distraction"
MajorDistraction			"Major Distraction"
EnemyBlock				"Enemy Block"
EnemyParry				"Enemy Parry"
EnemyDeflection				"Enemy Deflection"
EnemyDodge				"Enemy Dodge"
EnemyEvade				"Enemy Evade"
EnemyCriticalHit			"Enemy Critical Hit"
EnemyHit				"Enemy Hit"
EnemyMinorDistraction			"Enemy Minor Distraction"
EnemyDecentDistraction			"Enemy Decent Distraction"
EnemyMajorDistraction			"Enemy Major Distraction"
EnemyStealthed				"Enemy Stealthed"

PlayerSummoned				"Player Summoned"
Summoned				"Summoned"
Raised					"Raised"

TownUnderAttack				"The town is under attack"

// Attributes

BaseStrength				"Base Strength"
BaseDexterity				"Base Dexterity"
BaseVitality				"Base Vitality"
BaseIntelligence			"Base Intelligence"
BaseSpirit				"Base Spirit"

Strength				"Strength"
Dexterity				"Dexterity"
Vitality				"Vitality"
Intelligence				"Intelligence"
Spirit					"Spirit"

// Stats

Defense					"Defense"
Block					"Block"
Parry					"Parry"
Deflection				"Deflection"
Dodge					"Dodge"
Evade					"Evade"
Attack					"Attack"
AttackSpeed				"Attack Time"
Armor					"Armor"
ArmorPiercing				"Armor Piercing"
MaxHealth				"Max Health"
Power					"Mana"
MaxPower				"Maximum Mana"
Level					"Level"
Xp					"Xp"
XpNeeded				"Xp Needed"
XpDebt					"Xp Debt"
MinDamage				"Min Damage"
MaxDamage				"Max Damage"
HealthRegen				"Health Regen"
PowerRegen				"Mana Regen" //"Power Regen"
Class					"Class"
AttributePointsLeft			"Points Left"
SkillPointsLeft				"Points Left"
Movement				"Movement"
ResistancePhysical			"Physical Resistance"
ResistanceFire				"Fire Resistance"
ResistanceCold				"Cold Resistance"
ResistancePoison			"Poison Resistance"
ResistanceLightning			"Lightning Resistance"
ResistanceMagic				"Magic Resistance"
ExtraMoney				"Find Extra Money"
ItemsChance				"Find Items Chance"
MagicChance				"Magic Find Chance"
LightIntensity				"Light Intensity"
DisarmTrap				"Disarm Trap"
SecretsFound				"Secrets Found"
LockPicking				"Lock Picking"
MaxStamina				"Max Stamina"

// Dynamic stats

CriticalHit				"Critical Hit"
CrushingBlow				"Crushing Blow"
StunningBlow				"Stunning Blow"
DeepWounds				"Deep Wounds"
ExtraDamage				"Extra Damage"
TotalTime				"Total Time"
ExtraPowerGainChance			"Extra Mana Gain Chance"
ExtraPowerGainChanceFormat		"Extra ##1## Gain Chance"
PowerGainMult				"Mana Gain"
HateChange				"Hate Change"
SkillDamage				"Skill Damage"
PowerNeeded				"Mana Needed"
MagicCriticalHit			"Magic Critical Hit"
MagicCrushingBlow			"Magic Crushing Blow"
TimePlayedMilliSeconds			"Time Played"

// Fun stats

Kills					"Kills"
Deaths					"Deaths"
KillsPerDeath				"Kills Per Death"
GoldFound				"Gold Found"
MaxDamageDealt				"Max Damage Dealt"
MaxDamageTaken				"Max Damage Taken"
StrongestMonsterDefeated		"Strongest Monster Defeated"
ToughestBattleWon			"Toughest Battle Won"
StrongestMonsterKilledBy		"Strongest Monster Killed By"
WeakestMonsterKilledBy			"Weakest Monster Killed By"
QuestsSolved				"Quests Solved"
MaxDamageDealtAtOnce			"Max Damage Dealt At Once"
MaxHealthHealed				"Max Health Healed"
RaidsOffensiveWon			"Raids Offensive Won"
RaidsDefensiveWon			"Raids Defensive Won"
DestroyedByMonsters			"Destroyed By Monsters"
BestTrapDisarmed			"Best Trap Disarmed"
EquipmentWorth				"Equipment Worth"
InventoryWorth				"Inventory Worth"

// Damage types

Physical				"Physical"
Fire					"Fire"
Cold					"Cold"
Poison					"Poison"
Lightning				"Lightning"
Magic					"Magic"

// Skill stuff

SkillLevel				"Level ##1##"
PassiveSkill				"Passive skill"
PowerNeededX				"##1## needed: ##2##"
StaminaNeededX				"Stamina needed: ##1##"
SkillSuccessChanceX			"Success chance: ##1##%"

AddsPowerIfKillingBlow			"Adds ##1## ##2## if killing blow"
AddsPower				"Adds ##1## ##2##"

TargetAllEnemiesInRange			"Target: All enemies in range"
TargetCurrentEnemy			"Target: Current enemy"
TargetDeadBody				"Target: Selected dead body"
TargetAllAllies				"Target: All allies"
TargetAllPets				"Target: All pets"
TargetSelfOrFriend			"Target: Self or friend"
TargetSelf				"Target: Self"
TargetLockableObject			"Target: Lockable object"

RangeInFeet				"Range: ##1## to ##2## feet"
OutOfRange				"Out of range"
HitsOneExtraNearbyEnemy			"Hits up to 1 extra nearby enemy"
HitsXExtraNearbyEnemies			"Hits up to ##1## extra nearby enemies"
InterruptsSpells			"Interrupts spells"
AttackTime				"Attack time"
RequiresOne				"Requires one"
RequiresAll				"Requires all"
Requires				"Requires"
or					"or"
AtLeast					"at least"

AtCurrentSkillLevel			"At current skill level"
DontHaveThisSkill			"Don't have this skill"
AtNextSkillLevel			"At next skill level"
MaxSkillLevel				"Max skill level"
SkillMaxed				"Skill maxed"

XPercentLessChanceOfEnemyStat		"##1## percent less chance of enemy ##2##"
XChanceOfEnemyStat			"##1## chance of enemy ##2##"

PercentDamageType			"##1## ##2## damage"

CuresXDamageTypePerSec			"Cures ##1## ##2## damage per sec"

EnemyHate				"enemy hate"

//CastTime				"Cast time"
Time					"Time"
ReducesHate				"Reduces hate"
Healing					"Healing"

SkillXToYDamageType			"##1## - ##2## ##3## damage"
SkillXToYDamageTypeWithinRadius		"##1## - ##2## ##3## damage within radius"

CantUseForAnotherSecond			"Can't use for another 1 second"
CantUseForAnotherXSeconds		"Can't use for another ##1## seconds"

Stealthed				"Stealthed"

SkillDecreaseClick			"Left click to decrease ##1## by 1"
SkillIncreaseClick			"Left click to increase ##1## by 1"

CantBeRaised				"Can't be raised"

// Errors

ErrorCharacterNameEmpty			"Your character must have a name!"
ErrorCharacterNameUsed			"That character name is already being used!"
ErrorInvalidClass			"Invalid class"
ErrorInvalidHybrid			"You must choose 2 specialties for a hybrid class!"

FullQuestSlots				"You have no free quest slots for this quest!"
NoFreeQuestSlots			"No free quest slots!"
NotEnoughMoney				"Not enough money"
NothingSelected				"Nothing selected"
BagIsFull				"Bag is full!"
CantPickupBagsWithItems			"Can't pickup bags with items in it!"
CantTakeThisItem			"Can't take this item!"
CantMoveItemHere			"Can't move item here!"
ItemMustStayInInventory			"Item must stay in inventory!"
SlotCanOnlyHold				"Slot can only hold"
CantDropItem				"Can't drop item!"
CantAffordItem				"Can't afford item!"
CantSellItem				"Can't sell item!"
CantSellBagsWithItems			"Can't sell bags with items in it!"
CanOnlySellGuardsToGuardVendor		"Can only sell guard items to guard vendor!"
CanOnlySellItemsToVendor		"Can only sell normal items to the normal vendor!"
DontHaveXSkill				"Don't have the ##1## skill"
PathBlocked				"Path blocked"
VendorIsDead				"Vendor is dead!"
AlreadyHaveAllWeNeed			"Already have all we need!"
DontHaveEnoughMoneyToIdentifyEverything	"Don't have enough money to identify everything!"
DontHaveEnoughMoneyToRepairEverything	"Don't have enough money to repair everything!"
CantEquip2HandedWeaponAndShield		"Can't equip a 2 handed weapon and shield at the same time!"
DontHaveSkill				"Don't have skill"

NoRoomInInventory			"No room in inventory!"
CantUseWhenDead				"Can't use when dead"
CantUseYet				"Can't use yet"
NotEnoughPower				"Not enough ##1##"
NotEnoughStamina			"Not enough stamina"
NoStamina				"No stamina"
NeedAnEnemy				"Need an enemy"
NeedsDeadBody				"Need a dead body"
NeedsLockableObject			"Need a lockable object"
CanOnlyUseInCombat			"Can only use in combat"
OutOfRange				"Out of range"
MissingRequirement			"Missing requirement"
BlockedFromUsing			"Can't use skills"
DontMeetRequirements			"Don't meet requirements"
CantSee					"Can't see"
InViewOfEnemies				"In view of enemies"
PathBlocked				"Path blocked"
ErrorUserNameUsed			"That user name is already being used!"
ErrorUserNameEmpty			"Must have a user name!"
NotEnoughMoney				"Not enough money"
MustBeEdible				"Not edible"

// Multiplayer stuff

ChatPrompt				"Chat Msg>"
PlayerJoinedGame			"##1## joined the game"
PlayerLeftGame				"##1## left the game"
Multiplayer				"Multijoueur"

StartServer				"Start Local Server"
FindLocalServers			"Find Local Servers"
LocalServers				"Local Servers"
JoinServer				"Join Server"
RefreshServerList			"Refresh list"
DirectConnect				"Direct Connect"
IpAddress				"IP Address"
LocalServer				"Local Server"
InternetServer				"Internet Server"

InternetServers				"Internet Servers"
PlayOnInternet				"Play on Internet"
MultiplayerInternet			"Internet Multiplayer"
StartInternetServer			"Start Internet Server"
FindInternetServers			"Find Internet Servers"
GetNextServers				"Get More Servers"
GetNextServersPause			"Can't get more servers yet"

HostingGame				"Hosting Game"
LeftClickForMultMenu			"Left Click For Multiplayer Menu"

ShutdownServer				"Shutdown Server"
ShutdownServerDesc			"Shutdown the server\nThis will shut down the server, stop the game,\nand kick off all of the players from the server."
DisconnectClient			"Disconnect"
DisconnectClientDesc			"Disconnect from the server"
AlreadyInMultiplayer			"Already In Multiplayer"

NetworkMessageServerDisconnect		"Server could not be contacted, disconnected, or was lost!"
NetworkMessageServerLeftGame		"Server stopped the game.  Still connected though."
NetworkMessageJoinedServer		"Successfully joined server!\n\nThe icon in the upper right corner of the screen shows your connection status and the status of the server/game."

NetworkMessageIncorrectProtocol		"Can't join the server.  The server is using a different protocol version."
NetworkMessageIncorrectPassword		"Used the wrong password for this server!"
NetworkMessageServerFull		"Server is full"

NetworkMessageUnsupportedProtocol	"Unsupported master server protocol.  Please upgrade to the latest version of the game."
NetworkMessageUnknownGame		"Unknown game."
NetworkMessageAlreadyLoggedIn		"Your product key is already logged into the master server.  Only one person/computer can use each product key at a time."
NetworkMessageMasterServerTimeOut	"Couldn't contact the master server. Please try again.  If this continues check your internet connection.  If your internet connection is fine, contact support."
NetworkMessageInvalidProductKey		"Invalid Product Key"
NetworkMessageBannedProductKey		"Your product key has been banned from the servers."
NetworkMessageUnknownError		"Unknown error (##1##) ocurred on the master server."

WaitingForServer			"Waiting for server.\n\nThis can take up to a minute, but usually less, please be patient."
WaitingForAssistedServer		"Waiting for server. Trying assisted join through master server."
WaitingForMasterServer			"Logging into master server"
ServerName				"Server Name"
ServerNeedsName				"Type in a name for your server"

RequestTrade				"Request Trade"
TradeRequest				"Trade Request"
TradeRequestInfo			"Trade request from ##1##\nLeft click to start trade\nRight click to reject trade"
BadTrade				"Bad Trade"
TradeFinalized				" ^c002(Finalized)^c145"
WeOffer					"We Offer"
XPlayerOffers				"##1## offers"
TradeWait				"Have to wait a couple seconds between a trade change and finalizing"
FinalizeTradeDesc			"This will finalize your part of the trade. When\nboth players have finalized the trade it will\nactually do the trade. If anything is changed\nyou will have to finalize again. Once you offer\nthe trade, you can change your mind if you do\nso before the other player finalizes the trade."
CancelRequestTrade			"Cancel Request"
WeHave					"We Have"
ChangeMind				"Change Mind"
OfferDeal				"Offer Trade"
ClearTrade				"Clear"
ClearTradeDesc				"Clears your side of the trade"
SelectGoldAmount			"Select Gold Amount"
TradeItemDropped			"No room, traded item dropped on ground (reserved for you)"
TradeExecuted				"Trade completed"

AdventureStarted			"Adventure ##1## started"
ServerPlayers				"Players on Server"
ServerWorld				"Adventure"
AdventureNone				"None"
IpAddressHelp				"Type in the server's IP address in the format ###.###.###.###\n(ex.  192.168.1.100)"
CantChangeUserInMultiplayer		"Can't change user when in multiplayer\n(hosting or connected to a server)"

ErrorBadIpAddress			"Bad IP Address. Please use the format ###.###.###.### (ex.  192.168.1.100)"

StartChatMessage			"Start chat message"
SendChatMessage				"Send chat message"

ServerPassword				"Password"
ServerPasswordDesc			"Password for the server.\nOnly set this if you want to restrict game to those that know the password."
ClientPasswordHelp			"This must match the server's password.\nMost servers will probably leave this empty."

ServerMaxPlayers			"Max Players"
ServerMaxPlayersDesc			"There is no hard limit to the max players, however if\nyou set it too high the server and the clients might\nhave frame rate and/or network problems."

ShowPlayerNames				"Show player names"
ShowPlayerNamesDesc			"Show other player's names above\ntheir head (multiplayer only)"

CanShakeScreen				"Can shake screen"
CanShakeScreenDesc			"Allow the screen to shake when hit hard or during earthquakes"

WinConfirmTimerStarted			"##1## confirmed win, ##2## seconds left in adventure, unless all players choose to end adventure."

Zone					"Zone"
Zone_West_US				"West US"
Zone_East_US				"East US"
Zone_Europe				"Europe"
Zone_Other				"Other"
Zone_Default				"Default"
Zone_None				"None"
ZoneLoggedInDesc			"Master Server zone logged into"
ZoneLoggingIntoDesc			"Master Server zone logging into"
ZoneDesc				"Master server zone"

PasswordRequiredShort			"^c005pass"
NoPasswordRequiredShort			"^c002open"

ServerSearch				"Server Search"
SearchForServerPause			"Can't search for a server yet."
SearchForServerDesc			"Search for the server with the specified name"
SearchForServerDesc2			"Server name to search for"

NoServersFound				"No Servers Found"
NoServerSelected			"No Server Selected"

ServerInfoHelp				"Select a server to join\n\nFormat: ServerName - Players / Max Players (Level Difference) Password\n\nLevel Difference means what the starting level of the world is compared\nto your character's level.\n\nPassword is either ^c002open^c145 (no password) or ^c005pass^c145 (password required)."

XAddedToBestiary			"##1## added to bestiary"

InvalidCantGiveItemsMonsters		"Can't give items to monsters"
InvalidCantGiveItemsEnemies		"Can't give items to enemies"

LifestoneRegeneration			"Lifestone Regeneration"
ManastoneRegeneration			"Manastone Regeneration"
HealthstoneRegeneration			"Healthstone Regeneration"

PartyMemberHelp				"Drop food or healing potion here to heal\nparty member. Left click to select entity."
ClientHelp				"Left click to select entity.\nRight click to select and see equipment.\nWill only work if nearby."
NotCloseEnough				"Not Close Enough"

// Credits

DesignerProgrammer			"Designer & Programmer"
StoryWriting				"Story & Writing"
LeadArtist				"Lead artist"
SoundEffectsMusic			"Sound Effects & Music"
Voices					"Voices"
Artists					"Artists"
LevelDesign				"Level Design"
Translater				"Traducteur"

SurprisePenalty				"Surprise Penalty"

ChanceToDisarmTrap			"##1## chance to disarm a level ##2## trap"

SlipperySurface				"Slippery Surface"

XFellToLevelY				"##1## fell down to ##2##!"

ItemEnchantmentDesc			"Can only have 1 enchantment at a time."

// Export stuff

Stats					"Stats"
Attributes				"Attributes"
Resistances				"Resistances"
Skills					"Skills"
Equipment				"Equipment"
FunStats				"Fun stats"

EnemiesTooClose				"Enemies Too Close"

//
// Anything below this not used yet
//










































// Adventure Names

// Races

RaceLumen				"Lumen"
RaceBarbarian				"Barbarian"
RaceHuman				"Human"

CursedTotem				"Cursed Totem"
Totem					"Totem"
Bridge					"Bridge"
Altar					"Altar"
Gate					"Gate"

UnknownMonster				"Unknown"

// Monster unique names

FuryUniqueName				"Zorn"
OrcShamanUniqueName			"Gizlin"
DarkElfWarriorUniqueName		"Malos"
DarkElfAssassinUniqueName		"Tore"
DarkElfDarkPriestUniqueName		"Nequam"

// Monster boss names

DarkElfWarriorBossName			"Azar"
DarkElfAssassinBossName			"Degol"
DarkElfWizardBossName			"Vrull"

// Monster skills

Caltrops				"Caltrops"
Weakness				"Weakness"
Block					"Block"
Stunned					"Stunned"
DarkElfPoison				"Dark Elf Poison"
ChargedStrike				"Charged Strike"
WampirPoison				"Wampir Poison"
FreakySpeed				"Freaky Speed"
Drain					"Drain"
Curse					"Curse"
Growth					"Growth"
Web					"Web"
FreakySpeed				"Freaky Speed"
EnhancedStrength			"Enhanced Strength"
Stunned					"Stunned"
Growth					"Growth"
Drain					"Drain"
Curse					"Curse"
MinorFireImbuedFromAura			"Minor Fire Imbued (from aura)"
MinorColdImbuedFromAura			"Minor Cold Imbued (from aura)"
MinorLightningImbuedFromAura		"Minor Lightning Imbued (from aura)"
MinorPoisonImbuedFromAura		"Minor Poison Imbued (from aura)"
MinorElementalImbuedFromAura		"Minor Elemental Imbued (from aura)"
ElementalResistanceFromAura		"Elemental Resistance (from aura)"
QuicknessFromAura			"Quickness (from aura)"
ExtraStrengthFromAura			"Extra Strength (from aura)"

// Monster enhancements

MinorExtraStrength			"Minor Extra Strength"
ExtraStrength				"Extra Strength"
MajorExtraStrength			"Major Extra Strength"
MinorQuickness				"Minor Quickness"
Quickness				"Quickness"
MajorQuickness				"Major Quickness"
MinorStoneSkin				"Minor Stone Skin"
StoneSkin				"Stone Skin"
MajorStoneSkin				"Major Stone Skin"
MinorElementalResistance		"Minor Elemental Resistance"
ElementalResistance			"Elemental Resistance"
MajorElementalResistance		"Major Elemental Resistance"
MinorFleetofFoot			"Minor Fleet of Foot"
FleetofFoot				"Fleet of Foot"
MajorFleetofFoot			"Major Fleet of Foot"
MinorDefender				"Minor Defender"
Defender				"Defender"
MajorDefender				"Major Defender"
MinorBerserker				"Minor Berserker"
Berserker				"Berserker"
MajorBerserker				"Major Berserker"
MinorZealot				"Minor Zealot"
Zealot					"Zealot"
MajorZealot				"Major Zealot"
MinorGiant				"Minor Giant"
Giant					"Giant"
MajorGiant				"Major Giant"
MinorDeadlyAim				"Minor Deadly Aim"
DeadlyAim				"Deadly Aim"
MajorDeadlyAim				"Major Deadly Aim"
MinorCriticalHit			"Minor Critical Hit"
CriticalHit				"Critical Hit"
MajorCriticalHit			"Major Critical Hit"
MinorCrushingBlow			"Minor Crushing Blow"
CrushingBlow				"Crushing Blow"
MajorCrushingBlow			"Major Crushing Blow"
MinorStunningBlow			"Minor Stunning Blow"
StunningBlow				"Stunning Blow"
MajorStunningBlow			"Major Stunning Blow"
MinorDeepWounds				"Minor Deep Wounds"
DeepWounds				"Deep Wounds"
MajorDeepWounds				"Major Deep Wounds"
MinorThorns				"Minor Thorns"
Thorns					"Thorns"
MajorThorns				"Major Thorns"
MinorPowerBurn				"Minor Mana Burn"
PowerBurn				"Mana Burn"
MajorPowerBurn				"Major Mana Burn"
MinorStaminaBurn			"Minor Stamina Burn"
StaminaBurn				"Stamina Burn"
MajorStaminaBurn			"Major Stamina Burn"
MinorColdImbued				"Minor Cold Imbued"
ColdImbued				"Cold Imbued"
MajorColdImbued				"Major Cold Imbued"
MinorFireImbued				"Minor Fire Imbued"
FireImbued				"Fire Imbued"
MajorFireImbued				"Major Fire Imbued"
MinorLightningImbued			"Minor Lightning Imbued"
LightningImbued				"Lightning Imbued"
MajorLightningImbued			"Major Lightning Imbued"
MinorPoisonImbued			"Minor Poison Imbued"
PoisonImbued				"Poison Imbued"
MajorPoisonImbued			"Major Poison Imbued"
MinorElementalImbued			"Minor Elemental Imbued"
ElementalImbued				"Elemental Imbued"
MajorElementalImbued			"Major Elemental Imbued"
MinorRegeneration			"Minor Regeneration"
Regeneration				"Regeneration"
MajorRegeneration			"Major Regeneration"
MinorLifeSteal				"Minor Life Steal"
LifeSteal				"Life Steal"
MajorLifeSteal				"Major Life Steal"
MinorFireResistance			"Minor Fire Resistance"
FireResistance				"Fire Resistance"
MajorFireResistance			"Major Fire Resistance"
MinorColdResistance			"Minor Cold Resistance"
ColdResistance				"Cold Resistance"
MajorColdResistance			"Major Cold Resistance"
MinorLightningResistance		"Minor Lightning Resistance"
LightningResistance			"Lightning Resistance"
MajorLightningResistance		"Major Lightning Resistance"
MinorPoisonResistance			"Minor Poison Resistance"
PoisonResistance			"Poison Resistance"
MajorPoisonResistance			"Major Poison Resistance"
MinorFireShield				"Minor Fire Shield"
FireShield				"Fire Shield"
MajorFireShield				"Major Fire Shield"
MinorIceShield				"Minor Ice Shield"
IceShield				"Ice Shield"
MajorIceShield				"Major Ice Shield"
MinorLightningShield			"Minor Lightning Shield"
LightningShield				"Lightning Shield"
MajorLightningShield			"Major Lightning Shield"
FireEnchantmentAura			"Fire Enchantment Aura"
ColdEnchantmentAura			"Cold Enchantment Aura"
LightningEnchantmentAura		"Lightning Enchantment Aura"
PoisonEnchantmentAura			"Poison Enchantment Aura"
ElementalEnchantmentAura		"Elemental Enchantment Aura"
DangerousAim				"Dangerous Aim"
FreezeAura				"Freeze Aura"
RegenAura				"Regen Aura"

AuraDarkElf				"Aura - Dark Elf"
AuraOrc					"Aura - Orc"
