
RarityNormal				"Normal"
CriticalHitModifierName3		"Hazardous"
CriticalHitModifierName4		"Dangerous"
CriticalHitModifierName5		"Perilous"
CriticalHitModifierName6		"Critical"
CriticalHitModifierName7		"Grave"
CriticalHitModifierName8		"Dire"

CrushingBlowModifierName1		"Bruising"
CrushingBlowModifierName2		"Crunching"
CrushingBlowModifierName3		"Mashing"
CrushingBlowModifierName4		"Squashing"
CrushingBlowModifierName5		"Wrecking"
CrushingBlowModifierName6		"Crushing"
CrushingBlowModifierName7		"Pulverizing"
CrushingBlowModifierName8		"Obliterating"

StunningBlowModifierName1		"Dazing"
StunningBlowModifierName2		"Staggering"
StunningBlowModifierName3		"Overpowering"
StunningBlowModifierName4		"Stupefying"
StunningBlowModifierName5		"Stunning"
StunningBlowModifierName6		"Debilitating"
StunningBlowModifierName7		"Incapacitating"
StunningBlowModifierName8		"Paralyzing"

DeepWoundsModifierName1			"of Anguish"
DeepWoundsModifierName2			"of Grief"
DeepWoundsModifierName3			"of Gashing"
DeepWoundsModifierName4			"of Gouging"
DeepWoundsModifierName5			"of Pain"
DeepWoundsModifierName6			"of Wounding"
DeepWoundsModifierName7			"of Torment"
DeepWoundsModifierName8			"of Torture"
DeepWoundsModifierName9			"of Trauma"

CastTimeModifierName1			"of Incantation"
CastTimeModifierName2			"of Divination"
CastTimeModifierName3			"of Enchanting"
CastTimeModifierName4			"of Conjuring"
CastTimeModifierName5			"of Sorcery"
CastTimeModifierName6			"of Wizardry"
CastTimeModifierName7			"of Witching"

CrystalModifierName1			"Crystal"
ObsidianModifierName1			"Obsidian"

// Monster quest items

ear					"ear"
vialofscorchedsmoke			"vial of scorched smoke"
jaw					"jaw"
brain					"brain"
skull					"skull"
horn					"horn"
wing					"wing"
eye					"eye"
paw					"paw"
tail					"tail"
whisker					"whisker"
severedhand				"severed hand"
iceblock				"ice block"
vialofstatic				"vial of static"
helm					"helm"
charedremains				"charred remain"
claw					"claw"
plate					"plate"
splinter				"splinter"
warpfragment				"warp fragment"
skin					"skin"
tongue					"tongue"
mudclot					"mud clot"
pustule					"pustule"
vialofessence				"vial of essence"
headdress				"headdress"
silksac					"silk sac"
scale					"scale"
spike					"spike"

// Level quest items

QuestItemName1				"Galina Rock"
QuestItemName2				"Egg Sack"
QuestItemName3				"Mushroom Cap"
QuestItemName4				"Schist Rock"
QuestItemName5				"Sphinx Moth Wing"
QuestItemName6				"Fossil"
QuestItemName7				"Bat Wing"
QuestItemName8				"Velvet Ant Stinger"
QuestItemName9				"Slate Chunk"
QuestItemName10				"Frog Leg"
QuestItemName11				"White Clover"
QuestItemName12				"Snake Head"
QuestItemName13				"Marble Slab"
QuestItemName14				"Hop Vine Moth Wing"
QuestItemName15				"Blood Marble Chunk"
QuestItemName16				"Flatworm"
QuestItemName17				"Bat Tongue"
QuestItemName18				"Cave Racer Snake Skin"
QuestItemName19				"Emerald Figurine"
QuestItemName20				"Ancient Copper Coin"
QuestItemName21				"Carved Stone"
QuestItemName22				"Millipede"
QuestItemName23				"Engraved Stone"
QuestItemName24				"Salamander Tail"
QuestItemName25				"White Crystal"
QuestItemName26				"Swallow Feather"
QuestItemName27				"Glow Worm"
QuestItemName28				"Cave Fish"
QuestItemName29				"Blind Shrimp"
QuestItemName30				"Tooth Cave Spider Head"
QuestItemName31				"Hellbender Eye"
QuestItemName32				"Cave Mold"
QuestItemName33				"Small Geode"

KeyBasic				"Skeleton key"
KeyBasicDesc				"Can open almost anything that is locked"

FlamingOil				"Flaming Oil"
FlamingOilDesc				"Oil that when thrown will light on fire.\nUse to throw, then click where you want to throw it."
